epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4248.61,1.16373,1.07176,1.32611,0.56936,0.46336,0.51817,0.35338,1.17323,1.05429,1.31082,0.000307,0.000307,0.000307
44,4347.06,1.16886,1.06895,1.32156,0.57247,0.45455,0.51171,0.35241,1.15992,1.06614,1.31187,0.0002905,0.0002905,0.0002905
45,4445.1,1.14523,1.05805,1.3118,0.5665,0.45582,0.52113,0.35527,1.16799,1.05417,1.30448,0.000274,0.000274,0.000274
46,4543.08,1.13814,1.05424,1.31241,0.55039,0.46877,0.51969,0.35412,1.17982,1.06068,1.31515,0.0002575,0.0002575,0.0002575
47,4641.33,1.15832,1.04596,1.31496,0.56139,0.4921,0.53403,0.36482,1.16854,1.04039,1.30438,0.000241,0.000241,0.000241
48,4739.39,1.14179,1.03523,1.30396,0.56404,0.46558,0.52154,0.35796,1.16309,1.04606,1.30518,0.0002245,0.0002245,0.0002245
49,4837.65,1.13043,1.02465,1.30973,0.56965,0.481,0.52699,0.36093,1.17277,1.0344,1.30469,0.000208,0.000208,0.000208
50,4935.45,1.15025,1.03396,1.3147,0.58878,0.46479,0.5276,0.35946,1.16723,1.04103,1.30272,0.0001915,0.0001915,0.0001915
51,5033.26,1.15702,0.98176,1.33279,0.57572,0.47871,0.52961,0.36415,1.15537,1.03438,1.29744,0.000175,0.000175,0.000175
52,5130.26,1.13999,0.96172,1.32074,0.60731,0.45905,0.52982,0.36654,1.14498,1.02339,1.28664,0.0001585,0.0001585,0.0001585
53,5226.99,1.1277,0.94499,1.31318,0.58049,0.47386,0.52388,0.36123,1.15454,1.02924,1.29397,0.000142,0.000142,0.000142
54,5323.56,1.12615,0.92764,1.31082,0.56639,0.49107,0.52949,0.36267,1.15415,1.03134,1.29506,0.0001255,0.0001255,0.0001255
55,5420.19,1.12092,0.91759,1.31206,0.56791,0.48438,0.52937,0.36551,1.14774,1.03499,1.29344,0.000109,0.000109,0.000109
56,5517.17,1.1066,0.90939,1.30142,0.58657,0.4761,0.53172,0.36607,1.14432,1.02757,1.28777,9.25e-05,9.25e-05,9.25e-05
57,5614.08,1.11353,0.90238,1.29897,0.58694,0.47135,0.53216,0.36724,1.15353,1.02999,1.29173,7.6e-05,7.6e-05,7.6e-05
58,5710.44,1.11287,0.89775,1.2998,0.57001,0.49011,0.53025,0.3664,1.1473,1.02684,1.28712,5.95e-05,5.95e-05,5.95e-05
59,5807.22,1.10313,0.88559,1.29041,0.57345,0.48628,0.52749,0.3632,1.15226,1.03501,1.29049,4.3e-05,4.3e-05,4.3e-05
60,5903.95,1.08931,0.87876,1.28841,0.56738,0.48651,0.52902,0.36541,1.14446,1.02947,1.28633,2.65e-05,2.65e-05,2.65e-05
